,timestamp,value
0,2025-06-01 04:17:00,46.3
1,2025-06-01 08:17:00,45.2
2,2025-06-01 07:59:00,85.5
4,2025-06-01 10:37:00,64.3
5,2025-06-01 16:41:00,70.1
6,2025-06-01 11:59:00,2.6
7,2025-06-01 05:48:00,43.1
8,2025-06-01 20:04:00,95.5
9,2025-06-01 09:36:00,85.7
10,2025-06-01 17:52:00,12
11,2025-06-01 01:21:00,21.1
12,2025-06-01 01:18:00,63.8
13,2025-06-01 09:15:00,40.3
14,2025-06-01 21:57:00,83.3
15,2025-06-01 01:11:00,28.3
16,2025-06-01 19:16:00,77.6
18,2025-06-01 12:03:00,98.1
19,2025-06-01 01:53:00,92.2
20,2025-06-01 14:23:00,84.2
21,2025-06-01 07:47:00,30.7
22,2025-06-01 21:46:00,29.4
23,2025-06-01 19:15:00,19.6
24,2025-06-01 13:13:00,57.8
25,2025-06-01 04:42:00,15.7
27,2025-06-01 08:49:00,87.4
28,2025-06-01 15:52:00,46.5
29,2025-06-01 10:19:00,90.9
30,2025-06-01 20:14:00,2.5
32,2025-06-01 09:33:00,58.7
34,2025-06-01 16:28:00,71
35,2025-06-01 01:56:00,78.8
36,2025-06-01 17:50:00,28.4
37,2025-06-01 17:20:00,74.5
38,2025-06-01 02:36:00,40.1
39,2025-06-01 13:36:00,47.8
40,2025-06-01 04:00:00,41.1
41,2025-06-01 15:40:00,68.4
42,2025-06-01 13:45:00,52.5
43,2025-06-01 18:51:00,76.2
44,2025-06-01 08:46:00,86.1
45,2025-06-01 07:16:00,59.3
46,2025-06-01 16:23:00,6.4
47,2025-06-01 07:50:00,45.7
48,2025-06-01 08:27:00,91
49,2025-06-01 08:14:00,83.2
50,2025-06-01 02:00:00,87.5
51,2025-06-01 16:41:00,75
52,2025-06-01 14:42:00,46.3
53,2025-06-01 16:03:00,88.7
54,2025-06-01 14:59:00,54.4
56,2025-06-01 01:31:00,59
57,2025-06-01 02:28:00,0.1
59,2025-06-01 15:51:00,6.9
60,2025-06-01 09:40:00,19.4
61,2025-06-01 03:39:00,71.1
62,2025-06-01 17:06:00,7.9
63,2025-06-01 17:57:00,99.1
64,2025-06-01 13:12:00,67
65,2025-06-01 10:22:00,10.8
66,2025-06-01 08:58:00,76.9
67,2025-06-01 04:33:00,80.7
68,2025-06-01 08:58:00,97
70,2025-06-01 09:26:00,30.1
71,2025-06-01 22:21:00,27
72,2025-06-01 03:22:00,88.2
73,2025-06-01 19:16:00,54.2
74,2025-06-01 18:11:00,14.8
75,2025-06-01 16:10:00,63.4
76,2025-06-01 05:04:00,19
77,2025-06-01 21:07:00,70
78,2025-06-01 03:50:00,90.9
79,2025-06-01 09:08:00,49.5
80,2025-06-01 07:19:00,85.5
81,2025-06-01 01:49:00,57.3
82,2025-06-01 04:49:00,0.7
87,2025-06-01 12:25:00,64.4
88,2025-06-01 12:32:00,12.5
89,2025-06-01 08:57:00,87.1
90,2025-06-01 19:46:00,5.4
92,2025-06-01 21:50:00,41.3
94,2025-06-01 07:36:00,72
95,2025-06-01 09:03:00,15.9
96,2025-06-01 10:13:00,38.9
97,2025-06-01 19:39:00,66.9
98,2025-06-01 03:54:00,70.1
99,2025-06-01 04:12:00,71.1
100,2025-06-01 10:01:00,60.1
101,2025-06-01 14:28:00,10
102,2025-06-01 22:45:00,34.8
103,2025-06-01 12:42:00,1.7
104,2025-06-01 02:23:00,80.7
105,2025-06-01 14:38:00,87.1
106,2025-06-01 11:19:00,32.3
108,2025-06-01 12:28:00,79.6
109,2025-06-01 09:41:00,84.3
113,2025-06-01 11:29:00,49
115,2025-06-01 14:48:00,83.9
116,2025-06-01 22:59:00,23.9
117,2025-06-01 16:16:00,54.3
118,2025-06-01 11:40:00,63.8
119,2025-06-01 07:17:00,17.6
120,2025-06-01 01:28:00,66.2
122,2025-06-01 03:55:00,70.9
123,2025-06-01 06:34:00,81
124,2025-06-01 09:26:00,98.1
125,2025-06-01 19:45:00,75.2
126,2025-06-01 02:10:00,41.7
127,2025-06-01 20:00:00,1.1
129,2025-06-01 08:26:00,15.4
130,2025-06-01 04:30:00,85
131,2025-06-01 10:07:00,56.1
132,2025-06-01 20:35:00,21.3
133,2025-06-01 04:57:00,57
134,2025-06-01 03:51:00,38.9
135,2025-06-01 05:25:00,40.8
136,2025-06-01 03:00:00,91.1
137,2025-06-01 10:29:00,61.7
138,2025-06-01 01:20:00,11.7
139,2025-06-01 18:02:00,99.3
140,2025-06-01 18:18:00,65.5
141,2025-06-01 21:32:00,8.6
142,2025-06-01 16:01:00,45.6
143,2025-06-01 15:59:00,79.2
145,2025-06-01 17:18:00,99.8
146,2025-06-01 20:37:00,11.8
147,2025-06-01 08:00:00,23.8
148,2025-06-01 13:49:00,60.7
149,2025-06-01 09:13:00,67.5
150,2025-06-01 06:21:00,98.4
151,2025-06-01 19:03:00,61.1
152,2025-06-01 02:48:00,38.2
153,2025-06-01 11:48:00,9.4
154,2025-06-01 21:00:00,68.4
157,2025-06-01 18:52:00,24.8
158,2025-06-01 07:32:00,44.3
159,2025-06-01 00:49:00,13.2
160,2025-06-01 19:47:00,57.7
161,2025-06-01 20:00:00,59.5
162,2025-06-01 05:48:00,17.5
163,2025-06-01 08:15:00,87.1
164,2025-06-01 06:05:00,38.8
166,2025-06-01 18:43:00,46.7
167,2025-06-01 13:45:00,89.3
169,2025-06-01 14:56:00,28.4
170,2025-06-01 04:06:00,43.4
172,2025-06-01 20:37:00,20.4
173,2025-06-01 01:30:00,66.3
175,2025-06-01 03:05:00,99.8
177,2025-06-01 19:11:00,1
178,2025-06-01 23:43:00,81.6
179,2025-06-01 02:36:00,27.9
180,2025-06-01 08:29:00,59.5
181,2025-06-01 04:00:00,35.7
182,2025-06-01 23:27:00,13.2
183,2025-06-01 20:55:00,3.8
184,2025-06-01 20:19:00,55.9
185,2025-06-01 02:06:00,74.4
186,2025-06-01 10:29:00,82.5
187,2025-06-01 15:11:00,27.3
188,2025-06-01 08:53:00,13.9
190,2025-06-01 06:07:00,87.5
191,2025-06-01 13:58:00,64.3
192,2025-06-01 08:53:00,71.4
193,2025-06-01 18:13:00,53.9
195,2025-06-01 22:03:00,56.2
196,2025-06-01 03:01:00,21.2
197,2025-06-01 15:24:00,95.9
199,2025-06-01 16:03:00,40
200,2025-06-01 00:11:00,13.1
201,2025-06-01 19:52:00,95.2
202,2025-06-01 11:27:00,53.8
203,2025-06-01 09:22:00,85.8
204,2025-06-01 03:16:00,57.5
205,2025-06-01 03:52:00,89.7
206,2025-06-01 01:00:00,48.6
207,2025-06-01 20:00:00,38.6
209,2025-06-01 08:39:00,36.2
210,2025-06-01 00:36:00,78.1
211,2025-06-01 05:51:00,61.2
212,2025-06-01 15:38:00,63.6
213,2025-06-01 08:48:00,3.3
214,2025-06-01 13:13:00,30.2
215,2025-06-01 01:20:00,65.2
216,2025-06-01 18:21:00,36.4
217,2025-06-01 02:13:00,10.7
218,2025-06-01 09:27:00,3.4
219,2025-06-01 03:29:00,8.7
220,2025-06-01 05:31:00,60
221,2025-06-01 04:48:00,60
222,2025-06-01 08:04:00,58.9
223,2025-06-01 14:12:00,1.2
224,2025-06-01 11:40:00,74.4
225,2025-06-01 00:41:00,41
226,2025-06-01 23:46:00,21.9
227,2025-06-01 11:33:00,38.6
228,2025-06-01 17:17:00,60.8
230,2025-06-01 12:29:00,88.9
232,2025-06-01 00:10:00,57.4
233,2025-06-01 11:39:00,12.7
235,2025-06-01 04:38:00,7.2
236,2025-06-01 09:19:00,64.3
237,2025-06-01 14:16:00,48.3
238,2025-06-01 01:22:00,85.8
241,2025-06-01 04:40:00,33.3
242,2025-06-01 17:46:00,32.7
243,2025-06-01 23:22:00,74.1
246,2025-06-01 13:51:00,38.4
248,2025-06-01 08:12:00,82.4
249,2025-06-01 00:43:00,34
250,2025-06-01 00:24:00,44.4
251,2025-06-01 09:17:00,80.9
252,2025-06-01 23:29:00,81.3
254,2025-06-01 00:33:00,85.1
255,2025-06-01 11:13:00,50.6
256,2025-06-01 23:16:00,57
257,2025-06-01 11:07:00,37.2
259,2025-06-01 18:18:00,42.4
260,2025-06-01 04:17:00,32.5
261,2025-06-01 16:00:00,11
262,2025-06-01 22:01:00,48.5
263,2025-06-01 17:21:00,80.5
264,2025-06-01 15:35:00,31.1
265,2025-06-01 16:30:00,29.5
266,2025-06-01 02:56:00,53.3
268,2025-06-01 00:49:00,33.4
269,2025-06-01 15:42:00,7.6
270,2025-06-01 08:29:00,67.2
272,2025-06-01 14:00:00,57.2
273,2025-06-01 23:13:00,61.5
274,2025-06-01 01:03:00,32.5
275,2025-06-01 10:19:00,90
276,2025-06-01 17:33:00,32.4
277,2025-06-01 02:09:00,93.5
278,2025-06-01 08:59:00,47
279,2025-06-01 23:19:00,58.2
281,2025-06-01 17:03:00,80.9
282,2025-06-01 11:57:00,56.5
283,2025-06-01 02:03:00,76.4
285,2025-06-01 18:12:00,19.4
286,2025-06-01 22:33:00,78.7
287,2025-06-01 20:57:00,42.4
289,2025-06-01 16:21:00,60.7
290,2025-06-01 11:34:00,59
291,2025-06-01 18:26:00,67
292,2025-06-01 23:57:00,64.4
293,2025-06-01 18:41:00,27.4
294,2025-06-01 06:55:00,46.4
295,2025-06-01 03:40:00,20.3
296,2025-06-01 06:14:00,6
297,2025-06-01 03:21:00,68.6
